step,examples,loss,train_seconds,elapsed_seconds,sample_index_hash
1,4,1.4096845388412476,0.1003628340549767,0.1003687500488013,cd37cab234c590a6f540631e8da02e7a1cc3f4223ca9e779679ae1951bb8b67d
2,8,1.3961609601974487,0.18753733404446393,0.18756333296187222,c383a6fb7a79ff1aab160cab74a66b9ae0dc5266385bd623b5da547c1cf1ab8f
3,12,1.398052453994751,0.2800147089874372,0.28005491697695106,5264aa8f8e84db675e8484ff0ee2e6342f65b1e7c774f1d025b1135da4c1198e
4,16,1.3968218564987183,0.3664787500165403,0.3665344580076635,1c0377407e03774ff5a10f552eaab3d3eb59ab7dc707224d6cd5de519ecd01e3
5,20,1.3924880027770996,0.45353041600901634,0.4535991670563817,3526a14aeb38aac4a10a1de429a76a2683d8bbd9c33586d980a00a14a01e6603
6,24,1.3855210542678833,0.5401083750184625,0.5401879999553785,d8b22977347b3228c7cbdeb8c888ae8bba48734ac5e189600898c548feede215
7,28,1.3866596221923828,0.6264329169644043,0.6265254579484463,1fdff8ca260247847f49a42613b1c1b5dfce6804b47b00389a4a259cde584713
8,32,1.3776551485061646,0.7171493339119479,0.7172586669912562,3a104afde0d8e7d9b0d87aa7ce015dc0111fff153edef4a586fa15a99fb62e88
9,36,1.3691350221633911,0.8050560419214889,0.8051822079578415,db48ceaeef0a74dbb25af4a017dc8e5fe06cbb680d4e4ce957e7ab90f9b63d14
10,40,1.3742964267730713,0.892263833899051,0.8924015000229701,2dc4a18860fde273c2467de47bcd0aefd8435b6a73b062ee9c1876d8fa02f5bb
11,44,1.3780410289764404,0.9793531249742955,0.9795010830275714,76ac4eb7caf108276cacd0e00fe3f8dce3b8bb03960e3d25bd2820088ce84edd
12,48,1.375366449356079,1.0660253330133855,1.0661833749618381,2e45bc2d993b2c113ff59004fec2c44ff33a2f09ff71631f9792e9f6fa8213b5
13,52,1.3507804870605469,1.1528291249414906,1.1529977499740198,77624d4623fe091045726abe71a33f2392455d0e0fa4ae1f4b1411cf7138bb5d
14,56,1.3373568058013916,1.2397652919171378,1.2399418329587206,7753b8dcbba0710020a24d63b3d926438d73b91066762d2e7d1347e36a126110
15,60,1.341475248336792,1.3259079998824745,1.326094957999885,2f061bdaa8177da4dcec78668b046cd84fad45b8470bb98d015f8d9da809d264
16,64,1.3380382061004639,1.4159681668970734,1.4161663750419393,6d5e1423091eff6595a544dc9d3c151eb3e9d23737eb796f2b586108a55f774b
17,68,1.3286701440811157,1.5039170008385554,1.5041245829779655,f4480de9fa6c3ca6921be0437d06d8c32caf8e1de8a98c7cc68d23b08371dd2d
18,72,1.314917802810669,1.592259042779915,1.5924776670290157,01d99c1c06022cbcde86dbf9318345617b72699988305a5aee99f7afb7b24a16
19,76,1.2926175594329834,1.68342183472123,1.6836525000398979,6253018cef551092a49cd734db5c256dc59fb214d73694bd33a18118786562a6
20,80,1.2714093923568726,1.77488150075078,1.7751235830364749,b650de5bdd335081bdc6c82c5c0751f80d4e3171e0b44328402ea2d53a5df88e
21,84,1.2618166208267212,1.8625570847652853,1.8628111670259386,16b0b8c84cf373f9d5e1ed5766126d65454e1f98a535d3d7169c46aec5a8904d
22,88,1.2559213638305664,1.9499779177131131,1.9502433330053464,ffe0c4335ee2fe8246c6352eafc49baa952294ee8be1c9eda6de0cc197301436
23,92,1.1954439878463745,2.038385667721741,2.0386623749509454,05cce1dcab82bd73a93df5e13c6265b172c1ff35f82e8d2b818979da99310f29
24,96,1.2054859399795532,2.127932084724307,2.128222499974072,85f0ce54430243468544088aab0d2bb19ef165adb359a73924c3d33e02311d10
25,100,1.1750574111938477,2.2265672507928684,2.226871208054945,da419e85cc4553444df8526fe810bc67d3f2bb059bf924f69e1f20fcfd25c658
26,104,1.1555445194244385,2.314966208883561,2.3152824169956148,a66c04f7702e4288b147747b924382b54754ea2d37da5db6af1fd89386cf305f
27,108,1.1464409828186035,2.403518124949187,2.4038475420093164,9c9dfa27ddc3682e58128a05c15a986e9d5a140099cc22dadb9b2e11640d361a
28,112,1.1081265211105347,2.490382666932419,2.490723374998197,b2ee39fa48ea966316639cb05576d23524ca2ad633419146f34dd0b66744d3e7
29,116,1.0789668560028076,2.5771838339278474,2.577536292024888,8623ec66830bedb20241dc09089e56b845e0381d73d048c58aa2580b51f3f279
30,120,1.0303289890289307,2.665460499934852,2.6658241669647396,b653f0632b00c0eacd8c591e8b3f9f7f38d7478e658e87090de9d6a25d2fefbe
31,124,1.020221471786499,2.763797292020172,2.7641704169800505,36b918223f2c6dd7aea0838a4e5066b39f789b66a341a4cc7bbd32b763d6c69a
32,128,1.0301058292388916,2.850378958042711,2.8507612500106916,6a3eba9cbec7bcda227458ff82da63f8982030c769041d4df81f807bcc4a205b
33,132,0.9104130864143372,2.9374704580986872,2.937861292040907,eac3855b8a442d51cd8aba7c9b42ab52501ad1b333df3d1a9a40420a5267f2c4
34,136,0.8953149318695068,3.0243983331602067,3.0248006250476465,2d21878176248643dbc814139d3ac6a0423f57391e5c513286ce44c5ba0b338e
35,140,0.8591083288192749,3.1126862082164735,3.113098999951035,ccfe3d118e082b13948468f9fef4129b34b333c86edd2f1b4ffbe2f4bda2881d
