arm,step,examples_seen,train_seconds,elapsed_before_validation_seconds,foreground_dice,anonymous_agreement,valid_non_bg_fraction,unknown_fraction
C0,0,0,0.0,0.0,0.01623369921933033,1.0,0.039937344789198755,0.3718985874542778
C1_cache_s17,0,0,0.0,0.0,0.0,0.3510031103327067,0.0,1.0
C1_cache_s17,128,512,11.458268452202901,11.459646375034936,0.06211590284914411,0.7960226786173037,0.216585331789211,0.0702890208619628
C1_cache_s17,256,1024,23.01564741821494,35.81405691697728,0.027205604476192337,0.8256685150939318,0.04676967838486978,0.27087623506000463
C1_cache_s17,512,2048,45.87897137599066,73.16088608407881,0.016868415810829283,0.8431772619489379,0.032303216151302244,0.3162943816238567
C1_cache_s17,768,3072,68.5791876326548,110.09699633403216,0.029719758141756352,0.8477009304492499,0.05037705520509234,0.3012486186493551
C1_cache_s17,1024,4096,91.08481268223841,147.7623922500061,0.021455439650828714,0.8478552492343954,0.02786785724480184,0.3112697186530251
C1_cache_s29,0,0,0.0,0.0,0.0,0.3510031103327067,0.0,1.0
C1_cache_s29,128,512,11.372730916598812,11.37416241702158,0.05702016114191083,0.7674470703132964,0.21040958575791804,0.14148872644567775
C1_cache_s29,256,1024,22.77416687377263,35.265196167049,0.05274002351632297,0.7828504680281041,0.16817262346522258,0.11496195169044697
C1_cache_s29,512,2048,45.419639240717515,71.19388429203536,0.032374157995526634,0.8062637243048391,0.05900769325656218,0.3006303877772386
C1_cache_s29,768,3072,68.0852005701745,108.53306616703048,0.020872065087202726,0.8410408196761421,0.019954973575934527,0.2853885724072405
C1_cache_s29,1024,4096,90.84065865841694,145.36116954195313,0.02750729836470108,0.838857928850757,0.05644129922399697,0.2732207082301993
C1_direct_s17,0,0,0.0,0.0,0.0,0.3510031103327067,0.0,1.0
C1_direct_s17,128,512,12.773994823917747,12.775432582944632,0.0,0.3510031103327067,0.0,1.0
C1_direct_s17,256,1024,25.636650780797936,33.31876429193653,0.0,0.3510031103327067,0.0,1.0
C1_direct_s17,512,2048,51.73654790862929,67.86893566697836,0.0,0.3510031103327067,0.0,1.0
C1_direct_s17,768,3072,77.8056456662016,102.61355337500572,0.0,0.3510031103327067,0.0,1.0
C1_direct_s17,1024,4096,103.81502199918032,137.3259167500073,0.0,0.3510031103327067,0.0,1.0
C1_direct_s29,0,0,0.0,0.0,0.0,0.3510031103327067,0.0,1.0
C1_direct_s29,128,512,12.770208001253195,12.771624749992043,0.0,0.3510031103327067,0.0,1.0
C1_direct_s29,256,1024,25.530064546503127,33.24667204206344,0.0,0.3510031103327067,0.0,1.0
C1_direct_s29,512,2048,51.013243585359305,67.20696250000037,0.0,0.3510031103327067,0.0,1.0
C1_direct_s29,768,3072,76.70155479514506,100.99877762503456,0.0,0.3510031103327067,0.0,1.0
C1_direct_s29,1024,4096,102.302349675796,135.2690245830454,0.0,0.3510031103327067,0.0,1.0
