arm,patients,foreground_dice,rv_dice,myo_dice,lv_dice,rv_coverage,myo_coverage,lv_coverage,conditional_fg_dice_known_only,valid_non_bg_image_fraction,unknown_fraction_resized,anonymous_agreement,partition_ari_volume_mean,warm_p50_ms,warm_p90_ms,max_host_rss_mib,harm_vs_C0_patients,improved_vs_C0_patients,tied_vs_C0_patients,mean_delta_vs_C0
C0,20,0.01623369921933033,0.002181210861551662,0.015482692657942543,0.03103719413849678,0.19536321244247046,0.4872798187094827,0.18609170159605248,0.023229088560163275,0.039937344789198755,0.3718985874542778,1.0,0.02281981996729481,59.58393745822832,75.91851223260167,860.921875,0,0,20,0.0
C1_cache_s17,20,0.021455439650828714,0.0005603591490357764,0.019112875761486216,0.044693084041964155,0.19699792878018302,0.6005485299087524,0.17596731600803173,0.03738694971668061,0.02786785724480184,0.3112697186530251,0.8478552492343954,0.021123580681352824,24.834354466293007,30.004966747947037,1430.796875,4,7,9,0.005221740431498383
C1_cache_s29,20,0.02750729836470108,0.0028062187219674564,0.018400612182644077,0.061315064189491716,0.31285345457365715,0.6862476856528807,0.27960457448448695,0.03567595675037096,0.05644129922399697,0.2732207082301993,0.838857928850757,0.027808400894649386,26.322353980503976,34.788745117839426,1438.0,5,8,7,0.011273599145370758
C1_direct_s17,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.3510031103327067,5.2522243172448175e-17,12.308542034588754,13.226079242303967,1416.5,9,0,11,-0.01623369921933033
C1_direct_s29,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.3510031103327067,5.2522243172448175e-17,12.308375095017254,15.629732818342745,1408.46875,9,0,11,-0.01623369921933033
