step,examples,loss,train_seconds,elapsed_seconds,sample_index_hash
1,4,0.06130831688642502,0.11487325001507998,0.11487887508701533,cd37cab234c590a6f540631e8da02e7a1cc3f4223ca9e779679ae1951bb8b67d
2,8,0.06402073055505753,0.2178583750501275,0.21788983303122222,c383a6fb7a79ff1aab160cab74a66b9ae0dc5266385bd623b5da547c1cf1ab8f
3,12,0.07087790966033936,0.31764262495562434,0.3176893329946324,5264aa8f8e84db675e8484ff0ee2e6342f65b1e7c774f1d025b1135da4c1198e
4,16,0.0640174001455307,0.4162332919659093,0.4162915420019999,1c0377407e03774ff5a10f552eaab3d3eb59ab7dc707224d6cd5de519ecd01e3
5,20,0.06291690468788147,0.5131840009707958,0.513252625009045,3526a14aeb38aac4a10a1de429a76a2683d8bbd9c33586d980a00a14a01e6603
6,24,0.06579536199569702,0.6094068349339068,0.6094852919923142,d8b22977347b3228c7cbdeb8c888ae8bba48734ac5e189600898c548feede215
7,28,0.07191157341003418,0.7088396679610014,0.7089287920389324,1fdff8ca260247847f49a42613b1c1b5dfce6804b47b00389a4a259cde584713
8,32,0.06330488622188568,0.8132817519363016,0.8133869580924511,3a104afde0d8e7d9b0d87aa7ce015dc0111fff153edef4a586fa15a99fb62e88
9,36,0.0717635229229927,0.911634792922996,0.9117535420227796,db48ceaeef0a74dbb25af4a017dc8e5fe06cbb680d4e4ce957e7ab90f9b63d14
10,40,0.06355329602956772,1.008815209963359,1.0089443330653012,2dc4a18860fde273c2467de47bcd0aefd8435b6a73b062ee9c1876d8fa02f5bb
11,44,0.07244502007961273,1.1063947519287467,1.1065339170163497,76ac4eb7caf108276cacd0e00fe3f8dce3b8bb03960e3d25bd2820088ce84edd
12,48,0.05886642634868622,1.2047367099439725,1.2048857080517337,2e45bc2d993b2c113ff59004fec2c44ff33a2f09ff71631f9792e9f6fa8213b5
13,52,0.07646074146032333,1.3051607520319521,1.3053206669865176,77624d4623fe091045726abe71a33f2392455d0e0fa4ae1f4b1411cf7138bb5d
14,56,0.06847723573446274,1.403838127036579,1.4040127500193194,7753b8dcbba0710020a24d63b3d926438d73b91066762d2e7d1347e36a126110
15,60,0.07059662789106369,1.501366668031551,1.5015545000787824,2f061bdaa8177da4dcec78668b046cd84fad45b8470bb98d015f8d9da809d264
16,64,0.062089674174785614,1.599395626108162,1.5995939580025151,6d5e1423091eff6595a544dc9d3c151eb3e9d23737eb796f2b586108a55f774b
17,68,0.07653088122606277,1.698576751165092,1.6987889170413837,f4480de9fa6c3ca6921be0437d06d8c32caf8e1de8a98c7cc68d23b08371dd2d
18,72,0.06773485243320465,1.8002176261506975,1.8004437499912456,01d99c1c06022cbcde86dbf9318345617b72699988305a5aee99f7afb7b24a16
19,76,0.07033813744783401,1.8970170011743903,1.8972553330240771,6253018cef551092a49cd734db5c256dc59fb214d73694bd33a18118786562a6
20,80,0.060011763125658035,1.994776543113403,1.995027375058271,b650de5bdd335081bdc6c82c5c0751f80d4e3171e0b44328402ea2d53a5df88e
21,84,0.07691304385662079,2.092107668169774,2.0923711250070482,16b0b8c84cf373f9d5e1ed5766126d65454e1f98a535d3d7169c46aec5a8904d
22,88,0.0637502521276474,2.1896683351369575,2.189940958051011,ffe0c4335ee2fe8246c6352eafc49baa952294ee8be1c9eda6de0cc197301436
23,92,0.06300327926874161,2.294955335208215,2.2952369999838993,05cce1dcab82bd73a93df5e13c6265b172c1ff35f82e8d2b818979da99310f29
24,96,0.0643659383058548,2.392564752139151,2.392858292092569,85f0ce54430243468544088aab0d2bb19ef165adb359a73924c3d33e02311d10
25,100,0.060779642313718796,2.49012371012941,2.4904301670612767,da419e85cc4553444df8526fe810bc67d3f2bb059bf924f69e1f20fcfd25c658
26,104,0.0617423877120018,2.5876850441563874,2.5880021250341088,a66c04f7702e4288b147747b924382b54754ea2d37da5db6af1fd89386cf305f
27,108,0.04970153421163559,2.684313210193068,2.684640916995704,9c9dfa27ddc3682e58128a05c15a986e9d5a140099cc22dadb9b2e11640d361a
28,112,0.05722305551171303,2.7861162942135707,2.786456667003222,b2ee39fa48ea966316639cb05576d23524ca2ad633419146f34dd0b66744d3e7
29,116,0.08022962510585785,2.8845747521845624,2.884926083032042,8623ec66830bedb20241dc09089e56b845e0381d73d048c58aa2580b51f3f279
30,120,0.06013931334018707,2.9839035022305325,2.984265833045356,b653f0632b00c0eacd8c591e8b3f9f7f38d7478e658e87090de9d6a25d2fefbe
31,124,0.05906694754958153,3.083001919207163,3.0833747920114547,36b918223f2c6dd7aea0838a4e5066b39f789b66a341a4cc7bbd32b763d6c69a
32,128,0.05143304169178009,3.1801420021802187,3.180525125004351,6a3eba9cbec7bcda227458ff82da63f8982030c769041d4df81f807bcc4a205b
33,132,0.06078937277197838,3.286249836208299,3.286643792060204,eac3855b8a442d51cd8aba7c9b42ab52501ad1b333df3d1a9a40420a5267f2c4
34,136,0.06174727529287338,3.3839006281923503,3.3843067080015317,2d21878176248643dbc814139d3ac6a0423f57391e5c513286ce44c5ba0b338e
35,140,0.0602780245244503,3.480677170213312,3.48109454207588,ccfe3d118e082b13948468f9fef4129b34b333c86edd2f1b4ffbe2f4bda2881d
36,144,0.05260685831308365,3.5786823371890932,3.5791102499933913,58f61e8232f1c9aeb3c9f35b605073663b49f61019ce9022b9cac2235c6327fa
37,148,0.052462879568338394,3.6767809621524066,3.6772190000629053,acc985073948c92a48991168894b57d21d596da1e5caaaf6d7b46dbf81ec4497
38,152,0.05280343070626259,3.7774173370562494,3.7778661670163274,faff7277c0de389cf2082515313d355ba8c3a61d1464ddef1411a2ce9396e44c
39,156,0.04439777880907059,3.879115712014027,3.879577625077218,83add550d15269d2a3cde650d535c12208c358ea8c6c001ff9d9361ad39108b1
40,160,0.04436373710632324,3.979897003970109,3.980374832986854,c6694c7a0791558fcc7b95e6fa3a68f3ac722fb83dca3fbc215fecb4a65e74c9
41,164,0.047480273991823196,4.0797994210151955,4.0802915000822395,806ecfdffe0753ead146ecff37ca3610fe730e655ef944a24115c7fc08149f34
42,168,0.05169723182916641,4.17808933800552,4.178593583055772,451552a729fabc8ce2692858c145605a9e3b915a8b269a8523413835151dcf85
43,172,0.0523207001388073,4.285465338034555,4.2859814170515165,8bdaabbf418ebdcb707fa8740ac2c3f4c7daf3c35eb2bfbbdd83a09f013abbf9
44,176,0.05239003151655197,4.3847344210371375,4.385262417024933,0c10184aaa3104afb54ec08584a29d713f41c95a4c2daaf774870b28e48be9fe
45,180,0.06341132521629333,4.483455170993693,4.483993667061441,d78aa05e94af5c9f9d70e755b03d28447b61a644c099f16c61178001041316e3
46,184,0.06016547232866287,4.581466546049342,4.582014666986652,268fb432803bebab0429e6e627d618025da5f93ec5a3153d2db27efe41f97cec
47,188,0.04304218664765358,4.681239087018184,4.6818005830282345,190f3bfa88add31a363779b1933683a9e8cc10a95c5d5288326267834d4bed27
48,192,0.04806568846106529,4.785686503048055,4.786261958070099,2a64bf82f8e32550b51abecfbb50bcbccfa59ef7862822f94c420987c97a9b83
49,196,0.046723075211048126,4.884757212130353,4.885344124981202,fac5d5b6ad213b085fdca433dcb29c25733f3e5b541ae84cba69a109b29d7864
50,200,0.038267817348241806,4.982499629142694,4.983095958014019,7d8e469ac01d52cd32df737dcd98d6d9535becb9fc20ca41f8788f463ef42c82
51,204,0.04969403147697449,5.082598629174754,5.083204791997559,c67ecdaa36381c5392578f74624a7430f3dc241ab0ac337d9fe52f6586d90000
52,208,0.057801008224487305,5.18279658711981,5.1834159999853,4c2f10e73fbffd11481bc8c2134080dccede52fc4906b793e5e99e07e08b7010
53,212,0.055607814341783524,5.290813920088112,5.291443292051554,f2dbf8cb544e80e93b5d841af33f08b7f1131c78f6db9518e5133b988894c93e
54,216,0.05537480115890503,5.390120045049116,5.39076025004033,3e2c23454ac936d0a73af449458601a37f2ed304a05b550922e428d80f27f282
55,220,0.05292287468910217,5.4889589621452615,5.489609832991846,9404f7e2203418af7b62fb3eef7307ab5036009305018d21d658212daeae752a
56,224,0.052389729768037796,5.588803295162506,5.589465041994117,3935fe4260876376de8e4ea815c434a4cf75114586fde795d232293541666ab7
57,228,0.051241207867860794,5.687495378195308,5.688168541993946,b36c8e2e51043ee181ba09b2fd157725c33832c25d15c93f2f74ed734c380aa5
58,232,0.05515909940004349,5.790457294206135,5.791141042020172,2f33b19f5a7a58b0c80281319fe3b925da0a293f3166acee217229a78409e3c2
59,236,0.054348938167095184,5.889897752203979,5.890593667048961,e51fbff7298a9f20ba3e95721b3376b21119d6362df95d678e806fe479be1d10
60,240,0.05056973174214363,5.9889620852191,5.989670249982737,27f066ccbb4fee9e91ccdd22aac5b17d36074d7059a6fb62b43b7be0f254ab22
61,244,0.05751945078372955,6.08748912718147,6.088207042077556,2043071dedccdc5f81df725519d1b2fd4da8e8845306992c62d2401c5c52ef00
62,248,0.04271002858877182,6.184608669253066,6.185336125083268,490c52a207d7e71c7c997a38686bbdf68b44a27942997dd47d6e6f0f743355b0
63,252,0.05299259349703789,6.288907502312213,6.28964520804584,c9ac636c65fbc802288c805fb85bbebd3b68c9e678d7d73c8f2ccca8b9b3f1b8
64,256,0.053635403513908386,6.388614085270092,6.389364500064403,c35c3619d43d22b8258cae2aacb15c2a4c327e9ff030c9fa036aa2f0a92fdf67
65,260,0.06179552152752876,6.4866205853177235,6.4873824580572546,0c24161dd47355f1547052d809867701963fd0d33cc4003045a0372fd17fa4a0
66,264,0.05625579506158829,6.585368626285344,6.586141542065889,6c8fe79856183fa36d274962751bf6e2042d612a6ca48f4e9cb029ac9cf861f7
