step,examples,loss,train_seconds,elapsed_seconds,sample_index_hash
233,932,0.05408712476491928,23.31848049000837,31.00032391701825,293729436b84e03ebe47cc6f456df6756bf15e842b4963a7f9ad0ae030d4eb31
234,936,0.04042899236083031,23.416995114996098,31.098850499955006,d01d023bd0a12f7828fd5da492c92fa627f6ffd55cdf1628ca6b5ee42595e2d5
235,940,0.05502583086490631,23.522847906919196,31.204714374965988,f650da4f7bd747893e6e6e0e2640537e5259e69d6df5df0b30e23ec18922d861
236,944,0.06079968810081482,23.620942448847927,31.30282083293423,82758606ff9bd16e8cea0e078f34653f6631d2ae88ff6917b1c2c0177b6d1068
237,948,0.05831377953290939,23.720756032853387,31.402647082926705,2e08b257d53ac4057b190ebaa262d5188b1c9d0e9cd64622b52f04ca0b3aad60
238,952,0.05067993327975273,23.823971323901787,31.505873666959815,c8f10e5604e5d1c05859a3cb2aed015ce32f6451af60c4ae3f34e16fdfd4a619
239,956,0.04916327819228172,23.927372073871084,31.609289957908913,8f82f2f8608bdd0ad9628c8495e555aa5fdae4ea0313de918d4178dda18aa6b2
240,960,0.05889919400215149,24.02697536488995,31.708907874999568,9cb1e362e313ed81815c72539c9837dbe3d3dfa2ebca4ec70b4d6fd0041e5fd9
241,964,0.046771783381700516,24.1265695738839,31.8085147079546,57d7e55ce6e92cf6cd66b6136837c1eb2e039e93ffac5a62e854d8ee407ee737
242,968,0.04478345438838005,24.227070114924572,31.90902429202106,23f553570188f26a32d66ad27ff147f3d2ef10ca6594938f44b7630e191ae5b2
243,972,0.052484482526779175,24.329705447889864,32.011669958010316,8aec8e070144244eb5fd6dfae2ffa229f2a32ff42866cffc703a6737c90f0449
244,976,0.06412801891565323,24.433923072880134,32.11590012500528,aed96cad3d6a7a42521f3f82a521404f4e0fcaf82c52465daf8154aa4971b4b9
245,980,0.046956393867731094,24.533016030909494,32.21500424994156,5448dfa73cc1adfc9b2a510fdbd77ff7af7c08ea7c2083b9024b2bc437cc35fe
246,984,0.052984725683927536,24.63223623984959,32.31423549994361,a497b481f7f7e8e7f873d4a6d6bf8150ea28585695c63a24335d8389bcd2918e
247,988,0.06331678479909897,24.730528322863393,32.41253912495449,f98328ce61ec3df0298198ee75bb5cfcd14e706754634cb5c93d30c3e2a6cd95
248,992,0.044168490916490555,24.827823863946833,32.509846583008766,7a0c00bc011136f2857b7089d0d0f8ad71caef23dcf6520864facbae1b6d6817
249,996,0.050814684480428696,24.934631071984768,32.616663957946,fba1c1d2ad3862d4fbbc9d534b92272ef702def8c53c1f08f00b0265c9b413d0
250,1000,0.053747087717056274,25.03581615490839,32.7178624169901,1f26d84b2ad154d5e4b8191034c0a0a2b039de61224443917abc1af14ba9ddaf
251,1004,0.04431306570768356,25.135103321867064,32.81716237496585,bbfa08139567abf9c803f6fa9de7717473bcf8148f1cdc349965e8c4512894c0
252,1008,0.053257208317518234,25.235251363832504,32.91732404194772,a8b72260c79f9a4c4c6a4bb05f7435ddd19b21b20b0be95f5f73034c666b39ea
253,1012,0.047670554369688034,25.334388113813475,33.01647120795678,632fa02913fcc86f42a1d371a08751a09e583d85345c9525136b2afe992efb24
254,1016,0.0485268272459507,25.436611363780685,33.11870420794003,3dd17a2418381637fe73369ec1a27ebeb8b49df7f535fdc92b8c862b3ae70fca
255,1020,0.06065177544951439,25.536174197797664,33.21827729197685,5416312f208fffc24a441edd94ceee3e78c7a0d0916465596c4fd45a79271b66
256,1024,0.046519000083208084,25.636650780797936,33.31876429193653,1ba33a61e94c72bbbd885f28e5d247d081d90c2f027415a4ea74d1c248126e43
257,1028,0.058072615414857864,25.730622197734192,41.86001991701778,a0e9de287557b455b370450efb58c97b71728c6cd79d897b9c6f01897ca2492b
258,1032,0.05820457264780998,25.82943486480508,41.95884550001938,f34c5eace6d184ca336a7189e67b3ecddb3dd782406c907be849817acdeab64b
259,1036,0.04548260197043419,25.928996364818886,42.058419374981895,49a5b875622ed674ff7eb7bcae347c64ccba40e1d249f4b5a83e6f1e672efe0b
260,1040,0.057043466717004776,26.026618698844686,42.156052457983606,f9023c4f739b77f7d30db4c93a84b06d0f45044d2c4ef4ed842dc7cefe095af5
261,1044,0.056700434535741806,26.125363656901754,42.25480587501079,944c33ec0d15c46c8301bc20b8df9537e955ae2db2303deceb2cde3dfbd57898
262,1048,0.03939523920416832,26.22366703185253,42.3531177919358,910e8555a92d5f5be6626925fd867f7db65fc56551effd4213eb517e690f1147
263,1052,0.05356081202626228,26.32305782288313,42.45251787500456,3edb613a83b6ea7af41cc309e7c44e7daddb7b8484eb900c635b8dbb25a0f4d0
264,1056,0.047649700194597244,26.421929988777265,42.55139854201116,78f279270914dbfea506a652dc4d653cba001aef66a091de6f4ae197cf0bebc4
265,1060,0.04340313374996185,26.53519453073386,42.664672749931924,be2eda2cc59c38f2672b8aba10155ad1ba7e871a2a745f43e712ad976aab2301
266,1064,0.06620235741138458,26.633512030821294,42.7630034169415,2364cad7d46e55f563f61e45f60d0d976025c307a5d7a292d3f729b0a7b31893
267,1068,0.04350966587662697,26.73220403084997,42.861705916933715,70ade6d82e08252a985b4933d25a8f51f30375f6043d252b27882c248ad7a2f6
268,1072,0.04389648139476776,26.830961405765265,42.9604734579334,bcfea5db0378bf07c357a7db45f8ef2974164a4c234bd7cbb85c1682493ece2d
269,1076,0.0528971329331398,26.92958619678393,43.05910979199689,982f8076b575f9cc11764bc1c1ef28eff07340e9521771e51014e5be1c8ca628
270,1080,0.04432305693626404,27.027756780851632,43.1573010829743,0357636e9939972787b550914752d0ab39726b13020634b5bdbb676d2785b29f
271,1084,0.0500909648835659,27.1266338218702,43.25619004201144,f192ccaebe713bd418841b251c0720be2e2ffedbd19e533a5711606f51e71fcb
272,1088,0.04502235725522041,27.226293279789388,43.35585937497672,603eb6339b0ae8411ffdc3daa4397f4df94a5e427b4e6cec9b0590b157dc9e7f
273,1092,0.060662154108285904,27.325587487779558,43.45516579190735,1234913df8330693f22c9c1ddb12ce2a091d16646f11880c84acd0463b7a8213
