step,examples,loss,train_seconds,elapsed_seconds,sample_index_hash
1,4,1.3660261631011963,0.14925870799925178,0.14927679090760648,8686bf71b8bebcdc470efc4b0e7c13533a83395739c09a5dfb85f7ea405e9c10
2,8,1.3537827730178833,0.2434910829178989,0.24352995795197785,37a9cda764880054a247f23eb442a204fcd43aefdafddbc9982bdcde123d3e8f
3,12,1.3461469411849976,0.33260524994693696,0.3326580829452723,3eee591a25c4366dd5b5d895cfda242c221b645d08e5f51edcb371ebd795e1fd
4,16,1.3577064275741577,0.42305016692262143,0.4231173329753801,6ca243f628481ed14c83ccc09ac6d661ed429960f35b6e9ef090023522b133ce
5,20,1.3554457426071167,0.5118015839252621,0.5118830829160288,5fd3a2fd52bb28455c2ae84bd5ba8da0497d80cfbc77737b62b4291767fd2fb4
6,24,1.3631120920181274,0.6013166669290513,0.6014114159625024,faafb296bbbe61c7791a5f4060e36c1a962c0e4536ed2c9507526dbc474d14ca
7,28,1.3483526706695557,0.6988032918889076,0.6989100408973172,beda1fc8d56fc71ec829e934ba2c8fab5f12a90607244a719cfa3b72a7ff02c7
8,32,1.3585820198059082,0.788177749956958,0.7883022499736398,2d406a003b5b6c9fa857d91900f5c5d51d68c510d17b1bf2f16867eda6d0455a
