step,examples,loss,train_seconds,elapsed_seconds,sample_index_hash
1,4,1.3660261631011963,0.10488524998072535,0.10488954198081046,8686bf71b8bebcdc470efc4b0e7c13533a83395739c09a5dfb85f7ea405e9c10
2,8,1.3537827730178833,0.19010033295489848,0.19012395897880197,37a9cda764880054a247f23eb442a204fcd43aefdafddbc9982bdcde123d3e8f
3,12,1.3461469411849976,0.27421899896580726,0.2742553750285879,3eee591a25c4366dd5b5d895cfda242c221b645d08e5f51edcb371ebd795e1fd
4,16,1.3577064275741577,0.3696116649080068,0.3696632090723142,6ca243f628481ed14c83ccc09ac6d661ed429960f35b6e9ef090023522b133ce
5,20,1.3554457426071167,0.4539215398253873,0.45398741704411805,5fd3a2fd52bb28455c2ae84bd5ba8da0497d80cfbc77737b62b4291767fd2fb4
6,24,1.3631120920181274,0.5383207477862015,0.5383988340618089,faafb296bbbe61c7791a5f4060e36c1a962c0e4536ed2c9507526dbc474d14ca
7,28,1.3483526706695557,0.6241856227861717,0.6242765419883654,beda1fc8d56fc71ec829e934ba2c8fab5f12a90607244a719cfa3b72a7ff02c7
8,32,1.3585820198059082,0.7093806228367612,0.7094880000222474,2d406a003b5b6c9fa857d91900f5c5d51d68c510d17b1bf2f16867eda6d0455a
9,36,1.3399189710617065,0.7995012057945132,0.7996187499957159,2d848e0a6bab78070e83fca86dcd46f40b1edab58e8e14f3abced4e2a3911186
10,40,1.343481421470642,0.8917036217171699,0.8918314999900758,c1afac285988d214c72517e6532129a91c60e2bea1cd15b434fcbf9720278508
11,44,1.3537607192993164,0.9807929126545787,0.9809317090548575,e8d245ea552588c2ee797d0f24c087903730f25171fcd726e713664cd48fea94
12,48,1.3490371704101562,1.0701522036688402,1.0703007499687374,9d401560a395f8223e0d79e638e754780ec224ab638832029ac841771c386e5b
13,52,1.34542977809906,1.1585311206290498,1.1586888340534642,99e5baf59c95d7e7034dc59f1e8d0ac7c2335c48124dc200efe9ac3495288c49
